NumDots,UrlLength,NumDash,AtSymbol,IpAddress,HttpsHostname,PathLength,NumChars,Phishing
3,99,1,0,0,0,10,1,0
1,118,8,1,0,1,77,1,0
2,54,3,0,0,0,54,0,0
2,36,0,0,0,0,36,0,0
1,32,1,0,0,0,32,0,0
1,33,1,0,0,0,33,0,0
3,67,3,0,0,0,67,1,0
2,44,1,0,0,0,44,1,0
2,38,0,0,0,0,38,0,0
1,79,8,0,0,0,79,1,0
2,20,0,0,0,0,20,1,0
5,62,0,0,0,0,62,1,0
2,56,4,0,0,0,56,1,0
4,82,0,0,0,0,20,1,0
1,19,0,0,0,0,19,1,0
1,20,0,0,0,0,20,0,0
2,49,1,0,0,0,23,0,0
2,34,1,0,0,0,34,0,0
2,76,0,0,0,0,10,1,0
2,103,11,0,0,0,103,1,0
2,48,0,0,0,0,48,0,0
2,27,1,0,0,0,27,0,0
1,14,0,0,0,0,14,0,0
3,86,0,0,0,0,10,1,0
3,83,0,0,0,0,10,1,0
2,54,1,0,0,0,54,1,0
2,120,2,0,0,0,120,1,0
1,28,0,0,0,0,28,0,0
1,59,4,0,0,0,59,1,0
2,27,0,0,0,0,27,0,0
2,39,0,0,0,0,33,1,0
1,154,18,1,0,1,122,1,0
7,104,0,0,0,0,104,1,0
3,73,0,0,0,0,17,1,0
2,60,0,0,0,0,60,0,0
3,66,4,0,0,0,38,0,0
2,189,1,0,0,0,35,1,0
2,117,2,0,0,0,78,1,0
1,16,0,0,0,0,16,0,0
2,40,0,0,0,0,30,0,0
2,58,3,0,0,0,58,0,0
7,64,0,0,0,0,64,1,0
1,26,0,0,0,0,26,0,0
2,10,0,0,0,0,10,0,0
2,45,1,0,0,0,45,1,0
1,27,1,0,0,0,27,0,0
1,73,5,0,0,0,18,1,0
4,94,1,0,0,0,10,1,0
1,14,0,0,0,0,14,0,0
1,17,0,0,0,0,17,1,0
2,59,0,0,0,0,59,0,0
1,25,0,0,0,0,25,0,0
1,55,0,0,0,0,55,1,0
3,61,3,0,0,0,61,1,0
5,96,0,0,0,0,72,0,0
2,65,0,0,0,0,10,1,0
1,100,4,0,0,0,100,1,0
3,30,1,0,0,0,30,0,0
1,48,1,0,0,0,48,0,0
2,82,0,0,0,0,44,1,0
2,110,0,0,0,0,15,1,0
2,39,1,0,0,0,11,0,0
2,51,0,0,0,0,51,1,0
5,56,0,0,0,0,56,1,0
1,44,1,0,0,0,44,1,0
2,22,1,0,0,0,22,1,0
1,42,1,0,0,0,42,0,0
2,50,2,0,0,0,50,1,0
1,87,0,0,0,0,71,1,0
3,75,4,0,0,0,75,1,0
2,88,6,0,0,0,68,32,0
1,10,0,0,0,0,10,1,0
3,206,0,0,0,0,10,1,0
1,86,6,0,0,0,67,1,0
3,65,2,0,0,0,65,1,0
5,76,0,0,0,0,57,1,0
2,87,0,0,0,0,10,1,0
1,105,8,0,0,0,86,0,0
3,43,0,0,0,0,21,1,0
3,86,0,0,0,0,10,1,0
3,73,0,0,0,0,73,1,0
2,34,0,0,0,0,34,0,0
3,73,6,0,0,0,73,1,0
3,67,3,0,0,0,67,1,0
1,19,0,0,0,0,19,0,0
2,111,4,0,0,0,20,1,0
3,73,5,0,0,0,73,1,0
1,104,1,0,0,0,16,1,0
1,50,1,0,0,0,50,0,0
1,29,2,0,0,0,29,0,0
8,125,0,0,0,0,57,1,0
1,35,2,0,0,0,35,0,0
3,40,0,0,0,0,16,0,0
7,116,1,0,0,0,46,1,0
1,47,1,0,0,0,47,1,0
3,70,4,0,0,0,70,1,0
3,66,0,0,0,0,10,1,0
1,19,0,0,0,0,19,0,0
3,52,2,0,0,0,25,0,0
2,29,0,0,0,0,29,0,0
1,23,1,0,0,0,23,1,0
3,219,2,0,0,0,66,1,0
2,153,19,0,0,0,153,1,0
4,47,0,0,0,0,47,1,0
2,58,0,0,0,0,28,0,0
3,44,0,0,0,0,44,1,0
3,139,2,0,0,0,59,1,0
4,64,1,0,0,0,36,0,0
3,123,1,0,0,0,26,1,0
2,102,1,0,0,0,102,0,0
2,35,0,0,0,0,35,0,0
2,32,1,0,0,0,32,0,0
1,54,1,0,0,0,54,1,0
3,72,7,0,0,0,72,1,0
2,23,0,0,0,0,23,0,0
1,19,0,0,0,0,19,0,0
3,50,1,0,0,0,50,0,0
1,31,1,0,0,0,17,1,0
2,37,2,0,0,0,37,1,0
1,100,11,0,0,0,85,1,0
1,98,8,0,0,0,79,1,0
1,89,11,0,0,0,70,0,0
3,51,2,0,0,0,51,0,0
1,26,0,0,0,0,26,0,0
2,69,1,0,0,0,15,1,0
2,95,6,0,0,0,95,1,0
1,47,3,0,0,0,47,0,0
2,84,1,0,0,0,10,1,0
2,50,0,0,0,0,28,1,0
1,84,6,0,0,0,84,1,0
1,23,0,0,0,0,23,0,0
2,28,0,0,0,0,28,0,0
3,42,0,0,0,0,42,1,0
2,37,0,0,0,0,37,0,0
2,58,1,0,0,0,37,1,0
2,28,0,0,0,0,28,0,0
1,54,0,0,0,0,22,0,0
1,57,6,0,0,0,57,1,0
2,28,0,0,0,0,11,0,0
2,42,0,0,0,0,22,1,0
2,71,7,0,0,0,71,1,0
1,12,0,0,0,0,12,0,0
2,49,0,0,0,0,49,0,0
3,166,16,0,0,0,166,1,0
2,30,0,0,0,0,30,0,0
2,97,0,0,0,0,70,1,0
1,83,0,0,0,0,63,1,0
2,33,2,0,0,0,33,1,0
1,39,0,0,0,0,39,0,0
13,901,0,0,0,1,12,1,0
3,30,0,0,0,0,30,0,0
3,86,0,0,0,0,10,1,0
1,34,2,0,0,0,34,0,0
2,53,1,0,0,0,53,1,0
2,35,0,0,0,0,35,1,0
1,26,0,0,0,0,26,0,0
3,34,0,0,0,0,21,1,0
2,32,0,0,0,0,32,0,0
4,69,1,1,0,0,69,1,0
2,65,1,0,0,0,20,0,0
3,46,0,0,0,0,23,0,0
2,53,4,0,0,0,53,0,0
3,127,1,0,0,0,10,1,0
3,73,5,0,0,0,73,0,0
2,40,0,0,0,0,40,1,0
2,25,0,0,0,0,25,1,0
1,23,0,0,0,0,23,1,0
1,92,8,0,0,0,92,0,0
1,28,0,0,0,0,28,0,0
2,107,0,0,0,0,39,1,0
2,45,1,0,0,0,17,0,0
1,23,0,0,0,0,23,0,0
2,244,12,0,0,0,27,1,0
2,38,0,0,0,0,38,0,0
2,72,2,0,0,0,72,1,0
2,49,0,0,0,0,49,1,0
1,24,0,0,0,0,24,0,0
2,59,1,0,0,0,59,1,0
3,97,0,0,0,0,10,1,0
3,92,0,0,0,0,92,1,0
2,24,0,0,0,0,24,0,0
1,31,0,0,0,0,31,1,0
2,43,1,0,0,0,16,0,0
1,37,0,0,0,0,37,0,0
1,51,8,0,0,0,35,1,0
3,115,1,0,0,0,10,1,0
2,137,0,0,0,0,28,1,0
2,66,0,0,0,0,48,1,0
2,34,0,0,0,0,34,0,0
2,28,1,0,0,0,28,0,0
1,40,0,0,0,0,40,0,0
1,17,1,0,0,0,17,0,0
2,36,0,0,0,0,36,0,0
2,36,0,0,0,0,36,1,0
2,40,0,0,0,0,40,0,0
1,11,0,0,0,0,11,0,0
2,46,0,0,0,0,46,0,0
4,92,0,0,0,0,15,1,0
3,84,2,0,0,0,44,1,0
1,12,0,0,0,0,12,1,0
4,96,0,0,0,0,10,1,0
2,32,0,0,0,0,32,0,0
6,47,0,0,0,0,47,0,0
1,150,21,0,0,0,150,1,0
